Introductory Problems,24
Sorting and Searching,35
Dynamic Programming,23
Graph Algorithms,36
Range Queries,25
Tree Algorithms,16
Mathematics,37
String Algorithms,21
Geometry,16
Advanced Techniques,25
Sliding Window Problems,11
Interactive Problems,6
Bitwise Operations,11
Construction Problems,8
Advanced Graph Problems,28
Counting Problems,18
Additional Problems I,30
Additional Problems II,30
